text,label,notes
"LoRA merges back into the base with zero inference overhead because it's just W + BA folded into W. That's the whole point — you only pay the cost during training, not at serve time.",ANALYSIS,
"On an M2 Max the unified memory lets you run 70B Q4 at ~8 tok/s, which a 16GB discrete GPU just can't touch for that model size. Bandwidth is ~400GB/s, that's what's carrying it.",ANALYSIS,
I A/B'd two system prompts on 100 chats: the concise one had 12% fewer refusals and identical task success. Long 'you are a helpful assistant...' preambles mostly waste context and nudge it toward hedging.,ANALYSIS,
"Quantizing the KV cache to Q4 saved me ~40% VRAM at 32k context but dropped long-range recall noticeably (needle test fell ~15 points). Q8 KV was the sweet spot — half the savings, no measurable quality loss.",ANALYSIS,
Gemma-2 uses logit soft-capping during training; if you run it without the cap in an old llama.cpp build the outputs degrade. Updating to a build that implements capping fixed the gibberish I was seeing.,ANALYSIS,
"The 70B feels 'smarter' than the 8B on ambiguous instructions specifically because of in-context reasoning depth — on my 30 trick prompts the 70B got 24 vs the 8B's 14. Size buys robustness, not just facts.",ANALYSIS,
"Continuous batching is the single biggest server-throughput lever. Same 4090, same model: static batching gave ~900 tok/s aggregate, continuous batching ~1700, because finished sequences free slots immediately.",ANALYSIS,
"Mixtral 8x7B is ~13B active params, so it decodes at roughly 13B speed (~45 tok/s on my 3090 with offload) while answering like something bigger. The tradeoff is you still need VRAM for all 47B of weights.",ANALYSIS,
I tried int8 vs Q4 for a classification fine-tune: int8 was barely better on accuracy (91 vs 90) but 2x the VRAM. For deployment on one card Q4 was clearly the right call.,ANALYSIS,
"nous-hermes finetunes follow multi-turn instructions better than the base in my testing because they're trained on long assistant transcripts; base Llama drifts off the format by turn 4, the finetune holds to turn 10+.",ANALYSIS,
"The '128k context' on most local models is theoretical — past ~32k my throughput drops below 5 tok/s and recall degrades, so effective usable context on a 24GB card is way under the spec number.",ANALYSIS,
"DRY sampling killed the repetition problem better than rep-penalty for me because it penalizes repeated sequences not just tokens, so it stops the model looping whole phrases while leaving normal word reuse alone.",ANALYSIS,
"Running two 3090s with tensor parallelism on vLLM nearly doubled throughput on 70B (NVLink helps), but with llama.cpp's layer split I only got ~1.3x because the layers run sequentially across cards, not in parallel.",ANALYSIS,
Whisper large-v3 is overkill for clean English — distil-large-v2 ran 4x faster on my 3060 with <1% WER difference on my test audio. The distilled model drops decoder layers that barely matter for clear speech.,ANALYSIS,
"The instruct tuning is why base models 'can't chat' — base Llama-3 completes text, it was never trained to answer. Feed it a few-shot Q/A format and it works fine, which proves it's a format issue not a capability one.",ANALYSIS,
"EXL2's measurement step lets you mix bitrates per layer, so 4.0bpw EXL2 often beats a flat 4-bit GPTQ on quality — it spends more bits on the layers that need them. I saw a clear win on my perplexity check.",ANALYSIS,
"I measured prompt-processing vs generation separately: on a 4090 prompt eval is ~3000 tok/s but generation is ~80 tok/s, because prefill is parallel over the prompt while decode is one token at a time.",ANALYSIS,
Llama-3-8B-Instruct refuses way less if you don't include the default safety preamble — I ran 50 borderline-but-benign prompts and refusals dropped from 18 to 4 just by trimming the system prompt.,ANALYSIS,
The reason your finetune 'forgot' general knowledge is catastrophic forgetting — full fine-tuning on a narrow set overwrites the base. LoRA avoided it for me because the base weights stay frozen.,ANALYSIS,
"Qwen2.5-Coder-32B actually matched GPT-4o on my repo-level tasks (passed 17/20 vs 18/20), specifically on the ones needing the whole-file context. Smaller coders failed those because they lost track past a few hundred lines.",ANALYSIS,
"Speculative decoding gives zero benefit if your draft and target tokenizers differ — the tokens don't align so nothing gets accepted. They have to be from the same family, which is why people pair 1B+70B Llama.",ANALYSIS,
"Setting n_batch higher in llama.cpp sped up my prompt processing a lot (512 -> 2048 took prefill from 9s to 3s on a 4k prompt) but didn't touch generation speed, since that's still token-by-token.",ANALYSIS,
"I compared Q5_K_M and Q6_K on a 13B and honestly couldn't measure a quality difference (both 16/20 on my reasoning set), so Q5 is the better pick — same quality, less VRAM, slightly faster.",ANALYSIS,
"The Tesla P40 is cheap-per-GB but its fp16 is gimped (1:64 ratio), so it's only good for fp32/int8 paths. That's why people report it being slow despite the 24GB — the math units aren't there for modern kernels.",ANALYSIS,
"Llama-3.1's 128k context actually worked in my long-doc QA (recalled details at 100k+, ~85%) where 3.0 fell apart past 8k. They did the long-context continued pretraining properly this time.",ANALYSIS,
"Reducing max_tokens doesn't speed up per-token generation, it just stops sooner — people confuse the two. Your tok/s is fixed by the model+hardware; capping length only caps total wall time.",ANALYSIS,
"FP8 on Ada cards (4090) is real hardware acceleration, not emulated, so FP8 inference there is genuinely fast. On a 3090 (Ampere) FP8 falls back to emulation and you lose the benefit — checked with nvidia-smi util.",ANALYSIS,
My agent loop was slow because it re-sent the whole history each step; switching to prompt caching cut prefill cost ~80% since the static system+tools prefix gets reused instead of recomputed every turn.,ANALYSIS,
"Gemma-2-27B beat Llama-3-8B on my multilingual eval by a wide margin (German/Spanish accuracy ~20 points higher) — it's the larger multilingual pretraining mix, the 8B is much more English-centric.",ANALYSIS,
I quantized my own finetune with imatrix calibration on in-domain text and the Q4 came out noticeably better than a generic Q4 (2 more right of 20) because the importance matrix matched my actual use case.,ANALYSIS,
Running the model with --no-mmap actually helped on my machine with fast RAM because mmap was causing page faults under memory pressure; load was slower but generation was steadier. YMMV with slow disks.,ANALYSIS,
Llama-3-70B at IQ2_XXS fits in 24GB and is shockingly usable — got 14/20 on my reasoning set vs the 8B Q8's 11/20. The i-quants with imatrix preserve more than the old Q2_K at the same size.,ANALYSIS,
"The 'tiny model beats GPT-4' headlines are almost always one cherry-picked benchmark. On a broad 6-task suite the 7B trailed by 15+ points on every task except the one it was tuned for. Read the full table, not the tweet.",ANALYSIS,
"Tokenizer matters for non-English: Llama-3 uses ~2x fewer tokens than Llama-2 on Japanese in my test, so the same context window holds twice the text and costs half as much to process.",ANALYSIS,
vLLM's prefix caching gave me a big win on a chatbot with a fixed long system prompt — TTFT dropped from 1.2s to 0.2s on repeat calls because the shared prefix's KV is cached instead of recomputed.,ANALYSIS,
"I tested 'thinking' prompts on Qwen: adding 'reason step by step' lifted my logic-puzzle accuracy from 12/25 to 19/25, but had no effect on factual recall questions. CoT helps reasoning, not memory.",ANALYSIS,
"ExLlamaV2 is faster than llama.cpp on pure-GPU 4090 runs in my tests (78 vs 64 tok/s on a 13B) but llama.cpp wins the moment you need CPU offload, which ExLlama doesn't really do.",ANALYSIS,
My OOM at 'only' 20GB used was fragmentation — PYTORCH_CUDA_ALLOC_CONF=expandable_segments let the same workload fit. The allocator was holding fragmented blocks it couldn't reuse for the big KV tensor.,ANALYSIS,
"Distilling my 70B's outputs into a 7B LoRA actually transferred most of the task quality (7B finetune hit 88% of the 70B's score on my eval) — the small model just needed the right supervision, not more params.",ANALYSIS,
"Since Q4 preserves the outlier channels in higher precision, why does my 70B still OOM at 24GB? Because the weights are ~20GB and the 16k KV cache adds ~5GB — quantizing weights doesn't shrink the cache.",ANALYSIS,Q from M1 'questions' edge case: embeds a real supported claim -> ANALYSIS
"BitsAndBytes 4-bit (nf4) was slower for me than a GGUF Q4 at the same quality — nf4 dequantizes on the fly in fp16 every forward pass, while GGUF kernels operate on the quantized blocks directly.",ANALYSIS,
"I ran the lmsys-style pairwise eval locally and Llama-3-70B won 58% vs Mixtral on my 80 prompts, mostly on instruction-following — Mixtral was competitive on knowledge but drifted from the asked format more often.",ANALYSIS,
"Qwen2.5 is just better than Llama 3 at everything, period.",OPINION,
"Local models will overtake the closed ones within a year, mark my words.",OPINION,
This release is massively overrated.,OPINION,
Mistral is the only lab that actually gets open source.,OPINION,
"Honestly Q4 is all anyone needs, higher quants are a waste of VRAM.",OPINION,
Ollama ruined local LLMs by dumbing everything down.,OPINION,
"70B is the sweet spot, everything smaller is a toy.",OPINION,
Benchmarks are completely meaningless at this point.,OPINION,
Gemma is underrated and nobody talks about it enough.,OPINION,
The 8B models are good enough for 99% of people honestly.,OPINION,
"Closed models are going to win, open source just can't keep up on compute.",OPINION,
"Fine-tuning is overrated, good prompting beats it almost every time.",OPINION,
"DeepSeek is clearly the best lab right now, it's not even close.",OPINION,
"MoE models are a dead end, dense is the future.",OPINION,
Anyone still using llama.cpp over vLLM is just behind the times.,OPINION,
"Phi models are pure benchmark gaming, useless in practice.",OPINION,
"This is the most important open release of the year, full stop.",OPINION,
"RAG is overhyped, long context makes it obsolete.",OPINION,
"Q8 is pointless, you'll never tell the difference from Q4.",OPINION,
The new Mistral is a huge disappointment.,OPINION,
Apple Silicon is the best value for local LLMs right now.,OPINION,
"Everyone overcomplicates this, just run Q4 and move on.",OPINION,
"Llama 4 is going to flop, Meta peaked with 3.",OPINION,
"Censored models are worthless, abliterated is the only way.",OPINION,
Small models are the only ones that matter for real deployment.,OPINION,
vLLM is overkill for 90% of use cases here.,OPINION,
The leaderboard is rigged toward whoever trained on the test set.,OPINION,
"Qwen is overrated, it just tests well.",OPINION,
Honestly cloud APIs are still better for anything serious.,OPINION,
Open weights aren't really open if you can't see the data.,OPINION,
This model is clearly trained on GPT-4 outputs.,OPINION,
"Nobody actually needs 128k context, it's a marketing number.",OPINION,
The hype around this finetune is totally unjustified.,OPINION,
Dual 3090s is the only sensible local setup in 2024.,OPINION,
"Gemma 2 is the best model in its size class, easily.",OPINION,
People are sleeping on Command-R for RAG.,OPINION,
The base models are always better than the finetunes.,OPINION,
Reasoning models are a gimmick for most tasks.,OPINION,
Honestly the 3B models have gotten good enough to replace the 7Bs.,OPINION,
This whole 'agents' trend is a bubble.,OPINION,
NVIDIA pricing is the only thing holding local back.,OPINION,
Mixtral is still the best value model nobody runs anymore.,OPINION,
"The new tokenizer is a downgrade, fight me.",OPINION,
Anyone telling you to use exllama over gguf is gatekeeping.,OPINION,
Llama is open weight.,OPINION,correct-but-bare fact edge case -> OPINION
This is going to age badly.,OPINION,
"Quantization always ruins the model, I don't care what the benchmarks say.",OPINION,
The Chinese labs are just better at this now.,OPINION,
Roleplay finetunes are the only reason this community exists lol.,OPINION,
Honestly GPT-5 is going to make all of this irrelevant.,OPINION,
This sub overhypes every single release.,OPINION,borderline meta but asserts a claim about releases -> OPINION
"AMD cards are a mistake for local LLMs, just buy NVIDIA.",OPINION,
The instruct version is always worse than the base for creative writing.,OPINION,
"Honestly we don't need bigger models, we need better data.",OPINION,
This finetune is going to be the new community default.,OPINION,
Speculative decoding is more trouble than it's worth.,OPINION,
The 1B models are genuinely useless for anything real.,OPINION,
Open source is winning and the gap is closing every month.,OPINION,
Qwen's license is the only thing stopping it from taking over.,OPINION,
Local is the only way to go if you actually care about privacy.,OPINION,
Honestly the leaderboard top 10 are all basically the same model.,OPINION,
This release proves Meta is falling behind.,OPINION,
"4-bit is a scam, run it in fp16 or don't bother.",OPINION,
The real bottleneck is VRAM and it always will be.,OPINION,
"Distillation is the future, nobody will train from scratch in 2 years.",OPINION,
Honestly Gemini is better than all of these and people won't admit it.,OPINION,
"This is peak local, it only goes downhill from here.",OPINION,
DeepSeek is going to dominate the next year.,OPINION,
The 32B class is the only one worth caring about.,OPINION,
"Everyone's benchmarks are cooked, just vibe-check it yourself.",OPINION,asserts a claim about benchmarks but the 'vibe-check' isn't support for a claim -> OPINION
first,REACTION_NOISE,
we are so back 🚀,REACTION_NOISE,
lol we're so cooked 💀,REACTION_NOISE,
finally,REACTION_NOISE,
this,REACTION_NOISE,
based,REACTION_NOISE,
"instant download, thanks OP 🙏",REACTION_NOISE,
why is every thread like this now,REACTION_NOISE,
RIP my SSD,REACTION_NOISE,
my 3090 is sweating just reading this,REACTION_NOISE,
here we go again,REACTION_NOISE,
the duke of download has arrived,REACTION_NOISE,
ggufs when??,REACTION_NOISE,"bare request, no claim -> REACTION_NOISE"
can it run crysis,REACTION_NOISE,
local llama stays winning 🏆,REACTION_NOISE,
anyone else getting OOM on 70B?,REACTION_NOISE,"bare question, no claim -> REACTION_NOISE"
imagine explaining this hobby to your family,REACTION_NOISE,
"downloading now, will report back",REACTION_NOISE,
my wallet is crying,REACTION_NOISE,
zucc delivered 🤝,REACTION_NOISE,
what a time to be alive,REACTION_NOISE,
brb selling a kidney for another 3090,REACTION_NOISE,
the absolute madlads,REACTION_NOISE,
it's joever,REACTION_NOISE,
petition to rename the sub to r/downloadanxiety,REACTION_NOISE,
👀,REACTION_NOISE,
hyped,REACTION_NOISE,
crying in 8GB VRAM,REACTION_NOISE,
real ones remember llama 1,REACTION_NOISE,
ok this is actually insane,REACTION_NOISE,
take my upvote and leave,REACTION_NOISE,
waiting for the bartowski quants like 🍿,REACTION_NOISE,
mods pin this,REACTION_NOISE,
another day another model i won't have time to try,REACTION_NOISE,
this thread is gold lmao,REACTION_NOISE,
goodbye productivity,REACTION_NOISE,
the gguf gods are pleased,REACTION_NOISE,
not me refreshing huggingface every 5 min,REACTION_NOISE,
W release,REACTION_NOISE,
L take but ok,REACTION_NOISE,reacts to a take but asserts nothing itself -> REACTION_NOISE
happy cake day,REACTION_NOISE,
anyone have a mirror? hf is down,REACTION_NOISE,
my poor laptop fans,REACTION_NOISE,
peak fiction right here,REACTION_NOISE,
can't wait to not understand any of this,REACTION_NOISE,
the comments here never disappoint,REACTION_NOISE,
saving this for later,REACTION_NOISE,
3am and i'm downloading models again,REACTION_NOISE,
send help my drive is full,REACTION_NOISE,
guess i'm not sleeping tonight,REACTION_NOISE,
why are we all like this,REACTION_NOISE,
the timeline is healing,REACTION_NOISE,
op cooking 🔥,REACTION_NOISE,
legend,REACTION_NOISE,
i have no idea what this means but i'm excited,REACTION_NOISE,
every single thread is the same arguments lol,REACTION_NOISE,meta-complaint about the sub -> REACTION_NOISE
praise be to the open weights,REACTION_NOISE,
touch grass everyone (after you download this),REACTION_NOISE,
does anyone actually read the model cards,REACTION_NOISE,
my electricity bill in shambles,REACTION_NOISE,
the real model was the friends we made along the way,REACTION_NOISE,
upvoted before reading,REACTION_NOISE,
can we get a megathread for this,REACTION_NOISE,
inb4 100 'which model for my 8GB card' posts,REACTION_NOISE,
the vram wars continue,REACTION_NOISE,
ngl this community is unhinged and i love it,REACTION_NOISE,
wen 1B that beats gpt4 /s,REACTION_NOISE,
another banger from this lab,REACTION_NOISE,
this is the way,REACTION_NOISE,
